ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;1;Indicador de Desempenho no Atendimento (IDA);ALGAR;SMP;87.48
2019;1;Indicador de Desempenho no Atendimento (IDA);CLARO;SMP;85.71
2019;1;Indicador de Desempenho no Atendimento (IDA);NEXTEL;SMP;43.72
2019;1;Indicador de Desempenho no Atendimento (IDA);OI;SMP;82.29
2019;1;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;SMP;0.0
2019;1;Indicador de Desempenho no Atendimento (IDA);TIM;SMP;59.53
2019;1;Indicador de Desempenho no Atendimento (IDA);VIVO;SMP;89.6
2019;1;Índice de Reclamações;ALGAR;SMP;0.15
2019;1;Índice de Reclamações;CLARO;SMP;0.49
2019;1;Índice de Reclamações;NEXTEL;SMP;1.22
2019;1;Índice de Reclamações;OI;SMP;0.44
2019;1;Índice de Reclamações;SERCOMTEL;SMP;0.05
2019;1;Índice de Reclamações;TIM;SMP;1.01
2019;1;Índice de Reclamações;VIVO;SMP;0.41
2019;1;Quantidade de acessos em serviço;ALGAR;SMP;1274673.0
2019;1;Quantidade de acessos em serviço;CLARO;SMP;56412046.0
2019;1;Quantidade de acessos em serviço;NEXTEL;SMP;3350487.0
2019;1;Quantidade de acessos em serviço;OI;SMP;37671045.0
2019;1;Quantidade de acessos em serviço;SERCOMTEL;SMP;61422.0
2019;1;Quantidade de acessos em serviço;TIM;SMP;55748509.0
2019;1;Quantidade de acessos em serviço;VIVO;SMP;73239609.0
2019;1;Quantidade de reabertas;ALGAR;SMP;19.0
2019;1;Quantidade de reabertas;CLARO;SMP;1518.0
2019;1;Quantidade de reabertas;NEXTEL;SMP;265.0
2019;1;Quantidade de reabertas;OI;SMP;1393.0
2019;1;Quantidade de reabertas;SERCOMTEL;SMP;0.0
2019;1;Quantidade de reabertas;TIM;SMP;3957.0
2019;1;Quantidade de reabertas;VIVO;SMP;1906.0
2019;1;Quantidade de reclamações;ALGAR;SMP;188.0
2019;1;Quantidade de reclamações;CLARO;SMP;27410.0
2019;1;Quantidade de reclamações;NEXTEL;SMP;4104.0
2019;1;Quantidade de reclamações;OI;SMP;16698.0
2019;1;Quantidade de reclamações;SERCOMTEL;SMP;3.0
2019;1;Quantidade de reclamações;TIM;SMP;56268.0
2019;1;Quantidade de reclamações;VIVO;SMP;29882.0
2019;1;Quantidade de Reclamações no Período;ALGAR;SMP;488.0
2019;1;Quantidade de Reclamações no Período;CLARO;SMP;67469.0
2019;1;Quantidade de Reclamações no Período;NEXTEL;SMP;11569.0
2019;1;Quantidade de Reclamações no Período;OI;SMP;46730.0
2019;1;Quantidade de Reclamações no Período;SERCOMTEL;SMP;45.0
2019;1;Quantidade de Reclamações no Período;TIM;SMP;148344.0
2019;1;Quantidade de Reclamações no Período;VIVO;SMP;63217.0
