ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;1;Indicador de Desempenho no Atendimento (IDA);ALGAR;STF;94.85
2019;1;Indicador de Desempenho no Atendimento (IDA);EMBRATEL;STF;82.67
2019;1;Indicador de Desempenho no Atendimento (IDA);OI;STF;38.13
2019;1;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;STF;91.56
2019;1;Indicador de Desempenho no Atendimento (IDA);TIM;STF;13.28
2019;1;Indicador de Desempenho no Atendimento (IDA);VIVO;STF;61.26
2019;1;Índice de Reclamações;ALGAR;STF;0.55
2019;1;Índice de Reclamações;EMBRATEL;STF;0.83
2019;1;Índice de Reclamações;OI;STF;2.39
2019;1;Índice de Reclamações;SERCOMTEL;STF;0.31
2019;1;Índice de Reclamações;TIM;STF;2.79
2019;1;Índice de Reclamações;VIVO;STF;1.75
2019;1;Quantidade de acessos em serviço;ALGAR;STF;1156921.0
2019;1;Quantidade de acessos em serviço;EMBRATEL;STF;10213176.0
2019;1;Quantidade de acessos em serviço;OI;STF;11998820.0
2019;1;Quantidade de acessos em serviço;SERCOMTEL;STF;243577.0
2019;1;Quantidade de acessos em serviço;TIM;STF;897874.0
2019;1;Quantidade de acessos em serviço;VIVO;STF;12657236.0
2019;1;Quantidade de reabertas;ALGAR;STF;38.0
2019;1;Quantidade de reabertas;EMBRATEL;STF;542.0
2019;1;Quantidade de reabertas;OI;STF;2365.0
2019;1;Quantidade de reabertas;SERCOMTEL;STF;4.0
2019;1;Quantidade de reabertas;TIM;STF;435.0
2019;1;Quantidade de reabertas;VIVO;STF;1197.0
2019;1;Quantidade de reclamações;ALGAR;STF;631.0
2019;1;Quantidade de reclamações;EMBRATEL;STF;8510.0
2019;1;Quantidade de reclamações;OI;STF;28703.0
2019;1;Quantidade de reclamações;SERCOMTEL;STF;75.0
2019;1;Quantidade de reclamações;TIM;STF;2501.0
2019;1;Quantidade de reclamações;VIVO;STF;22211.0
2019;1;Quantidade de Reclamações no Período;ALGAR;STF;1382.0
2019;1;Quantidade de Reclamações no Período;EMBRATEL;STF;18054.0
2019;1;Quantidade de Reclamações no Período;OI;STF;79926.0
2019;1;Quantidade de Reclamações no Período;SERCOMTEL;STF;131.0
2019;1;Quantidade de Reclamações no Período;TIM;STF;6423.0
2019;1;Quantidade de Reclamações no Período;VIVO;STF;53018.0
2019;1;Quantidade de Respondidas;ALGAR;STF;631.0
2019;1;Quantidade de Respondidas;EMBRATEL;STF;8045.0
2019;1;Quantidade de Respondidas;OI;STF;27248.0
2019;1;Quantidade de Respondidas;SERCOMTEL;STF;70.0
2019;1;Quantidade de Respondidas;TIM;STF;2480.0
2019;1;Quantidade de Respondidas;VIVO;STF;22201.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;STF;539.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;EMBRATEL;STF;7277.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;OI;STF;24440.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;STF;56.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;TIM;STF;1872.0
2019;1;Quantidade de Sol. Respondidas em até 5 dias;VIVO;STF;19092.0
2019;1;Quantidade de Sol. Respondidas no Período;ALGAR;STF;1382.0
2019;1;Quantidade de Sol. Respondidas no Período;EMBRATEL;STF;17676.0
2019;1;Quantidade de Sol. Respondidas no Período;OI;STF;79865.0
2019;1;Quantidade de Sol. Respondidas no Período;SERCOMTEL;STF;130.0
2019;1;Quantidade de Sol. Respondidas no Período;TIM;STF;6415.0
2019;1;Quantidade de Sol. Respondidas no Período;VIVO;STF;52821.0
2019;1;Taxa de Reabertas;ALGAR;STF;6.02
2019;1;Taxa de Reabertas;EMBRATEL;STF;6.74
2019;1;Taxa de Reabertas;OI;STF;8.68
2019;1;Taxa de Reabertas;SERCOMTEL;STF;5.71
2019;1;Taxa de Reabertas;TIM;STF;17.54
2019;1;Taxa de Reabertas;VIVO;STF;5.39
2019;1;Taxa de Respondidas em 5 dias Úteis;ALGAR;STF;85.42
2019;1;Taxa de Respondidas em 5 dias Úteis;EMBRATEL;STF;85.51
2019;1;Taxa de Respondidas em 5 dias Úteis;OI;STF;85.15
2019;1;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;STF;74.67
2019;1;Taxa de Respondidas em 5 dias Úteis;TIM;STF;74.85
2019;1;Taxa de Respondidas em 5 dias Úteis;VIVO;STF;85.96
2019;1;Taxa de Respondidas no Período;ALGAR;STF;100.0
2019;1;Taxa de Respondidas no Período;EMBRATEL;STF;97.91
2019;1;Taxa de Respondidas no Período;OI;STF;99.92
2019;1;Taxa de Respondidas no Período;SERCOMTEL;STF;99.24
2019;1;Taxa de Respondidas no Período;TIM;STF;99.88
2019;1;Taxa de Respondidas no Período;VIVO;STF;99.63
2019;2;Indicador de Desempenho no Atendimento (IDA);ALGAR;STF;98.18
2019;2;Indicador de Desempenho no Atendimento (IDA);EMBRATEL;STF;89.2
2019;2;Indicador de Desempenho no Atendimento (IDA);OI;STF;49.73
2019;2;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;STF;86.88
2019;2;Indicador de Desempenho no Atendimento (IDA);TIM;STF;28.41
2019;2;Indicador de Desempenho no Atendimento (IDA);VIVO;STF;68.97
2019;2;Índice de Reclamações;ALGAR;STF;0.43
2019;2;Índice de Reclamações;EMBRATEL;STF;0.75
2019;2;Índice de Reclamações;OI;STF;2.17
2019;2;Índice de Reclamações;SERCOMTEL;STF;0.23
2019;2;Índice de Reclamações;TIM;STF;2.32
2019;2;Índice de Reclamações;VIVO;STF;1.48
2019;2;Quantidade de acessos em serviço;ALGAR;STF;1154182.0
2019;2;Quantidade de acessos em serviço;EMBRATEL;STF;10179484.0
2019;2;Quantidade de acessos em serviço;OI;STF;11931604.0
2019;2;Quantidade de acessos em serviço;SERCOMTEL;STF;243577.0
2019;2;Quantidade de acessos em serviço;TIM;STF;912039.0
2019;2;Quantidade de acessos em serviço;VIVO;STF;12553207.0
2019;2;Quantidade de reabertas;ALGAR;STF;29.0
2019;2;Quantidade de reabertas;EMBRATEL;STF;433.0
2019;2;Quantidade de reabertas;OI;STF;1926.0
2019;2;Quantidade de reabertas;SERCOMTEL;STF;2.0
2019;2;Quantidade de reabertas;TIM;STF;282.0
2019;2;Quantidade de reabertas;VIVO;STF;1089.0
2019;2;Quantidade de reclamações;ALGAR;STF;491.0
2019;2;Quantidade de reclamações;EMBRATEL;STF;7623.0
2019;2;Quantidade de reclamações;OI;STF;25888.0
2019;2;Quantidade de reclamações;SERCOMTEL;STF;55.0
2019;2;Quantidade de reclamações;TIM;STF;2116.0
2019;2;Quantidade de reclamações;VIVO;STF;18544.0
2019;2;Quantidade de Reclamações no Período;ALGAR;STF;1552.0
2019;2;Quantidade de Reclamações no Período;EMBRATEL;STF;20327.0
2019;2;Quantidade de Reclamações no Período;OI;STF;79037.0
2019;2;Quantidade de Reclamações no Período;SERCOMTEL;STF;142.0
2019;2;Quantidade de Reclamações no Período;TIM;STF;6729.0
2019;2;Quantidade de Reclamações no Período;VIVO;STF;55462.0
2019;2;Quantidade de Respondidas;ALGAR;STF;491.0
2019;2;Quantidade de Respondidas;EMBRATEL;STF;7022.0
2019;2;Quantidade de Respondidas;OI;STF;24968.0
2019;2;Quantidade de Respondidas;SERCOMTEL;STF;50.0
2019;2;Quantidade de Respondidas;TIM;STF;2041.0
2019;2;Quantidade de Respondidas;VIVO;STF;18542.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;STF;419.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;EMBRATEL;STF;6530.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;OI;STF;22269.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;STF;38.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;TIM;STF;1576.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;VIVO;STF;15895.0
2019;2;Quantidade de Sol. Respondidas no Período;ALGAR;STF;1552.0
2019;2;Quantidade de Sol. Respondidas no Período;EMBRATEL;STF;20263.0
2019;2;Quantidade de Sol. Respondidas no Período;OI;STF;78928.0
2019;2;Quantidade de Sol. Respondidas no Período;SERCOMTEL;STF;140.0
2019;2;Quantidade de Sol. Respondidas no Período;TIM;STF;6721.0
2019;2;Quantidade de Sol. Respondidas no Período;VIVO;STF;55306.0
2019;2;Taxa de Reabertas;ALGAR;STF;5.91
2019;2;Taxa de Reabertas;EMBRATEL;STF;6.17
2019;2;Taxa de Reabertas;OI;STF;7.71
2019;2;Taxa de Reabertas;SERCOMTEL;STF;4.0
2019;2;Taxa de Reabertas;TIM;STF;13.82
2019;2;Taxa de Reabertas;VIVO;STF;5.87
2019;2;Taxa de Respondidas em 5 dias Úteis;ALGAR;STF;85.34
2019;2;Taxa de Respondidas em 5 dias Úteis;EMBRATEL;STF;85.66
2019;2;Taxa de Respondidas em 5 dias Úteis;OI;STF;86.02
2019;2;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;STF;69.09
2019;2;Taxa de Respondidas em 5 dias Úteis;TIM;STF;74.48
2019;2;Taxa de Respondidas em 5 dias Úteis;VIVO;STF;85.72
2019;2;Taxa de Respondidas no Período;ALGAR;STF;100.0
2019;2;Taxa de Respondidas no Período;EMBRATEL;STF;99.69
2019;2;Taxa de Respondidas no Período;OI;STF;99.86
2019;2;Taxa de Respondidas no Período;SERCOMTEL;STF;98.59
2019;2;Taxa de Respondidas no Período;TIM;STF;99.88
2019;2;Taxa de Respondidas no Período;VIVO;STF;99.72
2019;3;Indicador de Desempenho no Atendimento (IDA);ALGAR;STF;100.0
2019;3;Indicador de Desempenho no Atendimento (IDA);EMBRATEL;STF;89.22
2019;3;Indicador de Desempenho no Atendimento (IDA);OI;STF;45.44
2019;3;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;STF;71.96
2019;3;Indicador de Desempenho no Atendimento (IDA);TIM;STF;23.82
2019;3;Indicador de Desempenho no Atendimento (IDA);VIVO;STF;69.39
2019;3;Índice de Reclamações;ALGAR;STF;0.32
2019;3;Índice de Reclamações;EMBRATEL;STF;0.67
2019;3;Índice de Reclamações;OI;STF;2.13
2019;3;Índice de Reclamações;SERCOMTEL;STF;0.18
2019;3;Índice de Reclamações;TIM;STF;2.44
2019;3;Índice de Reclamações;VIVO;STF;1.46
2019;3;Quantidade de acessos em serviço;ALGAR;STF;1154182.0
2019;3;Quantidade de acessos em serviço;EMBRATEL;STF;10179484.0
2019;3;Quantidade de acessos em serviço;OI;STF;11931604.0
2019;3;Quantidade de acessos em serviço;SERCOMTEL;STF;242803.0
2019;3;Quantidade de acessos em serviço;TIM;STF;912039.0
2019;3;Quantidade de acessos em serviço;VIVO;STF;12553207.0
2019;3;Quantidade de reabertas;ALGAR;STF;22.0
2019;3;Quantidade de reabertas;EMBRATEL;STF;382.0
2019;3;Quantidade de reabertas;OI;STF;2109.0
2019;3;Quantidade de reabertas;SERCOMTEL;STF;4.0
2019;3;Quantidade de reabertas;TIM;STF;321.0
2019;3;Quantidade de reabertas;VIVO;STF;1126.0
2019;3;Quantidade de reclamações;ALGAR;STF;368.0
2019;3;Quantidade de reclamações;EMBRATEL;STF;6867.0
2019;3;Quantidade de reclamações;OI;STF;25453.0
2019;3;Quantidade de reclamações;SERCOMTEL;STF;43.0
2019;3;Quantidade de reclamações;TIM;STF;2229.0
2019;3;Quantidade de reclamações;VIVO;STF;18352.0
2019;3;Quantidade de Reclamações no Período;ALGAR;STF;1608.0
2019;3;Quantidade de Reclamações no Período;EMBRATEL;STF;22206.0
2019;3;Quantidade de Reclamações no Período;OI;STF;78279.0
2019;3;Quantidade de Reclamações no Período;SERCOMTEL;STF;146.0
2019;3;Quantidade de Reclamações no Período;TIM;STF;6560.0
2019;3;Quantidade de Reclamações no Período;VIVO;STF;56512.0
2019;3;Quantidade de Respondidas;ALGAR;STF;368.0
2019;3;Quantidade de Respondidas;EMBRATEL;STF;6345.0
2019;3;Quantidade de Respondidas;OI;STF;24850.0
2019;3;Quantidade de Respondidas;SERCOMTEL;STF;41.0
2019;3;Quantidade de Respondidas;TIM;STF;2203.0
2019;3;Quantidade de Respondidas;VIVO;STF;18347.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;STF;328.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;EMBRATEL;STF;5943.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;OI;STF;21769.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;STF;20.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;TIM;STF;1615.0
2019;3;Quantidade de Sol. Respondidas em até 5 dias;VIVO;STF;15834.0
2019;3;Quantidade de Sol. Respondidas no Período;ALGAR;STF;1608.0
2019;3;Quantidade de Sol. Respondidas no Período;EMBRATEL;STF;21979.0
2019;3;Quantidade de Sol. Respondidas no Período;OI;STF;78225.0
2019;3;Quantidade de Sol. Respondidas no Período;SERCOMTEL;STF;143.0
2019;3;Quantidade de Sol. Respondidas no Período;TIM;STF;6548.0
2019;3;Quantidade de Sol. Respondidas no Período;VIVO;STF;56308.0
2019;3;Taxa de Reabertas;ALGAR;STF;5.98
2019;3;Taxa de Reabertas;EMBRATEL;STF;6.02
2019;3;Taxa de Reabertas;OI;STF;8.49
2019;3;Taxa de Reabertas;SERCOMTEL;STF;9.76
2019;3;Taxa de Reabertas;TIM;STF;14.57
2019;3;Taxa de Reabertas;VIVO;STF;6.14
2019;3;Taxa de Respondidas em 5 dias Úteis;ALGAR;STF;89.13
2019;3;Taxa de Respondidas em 5 dias Úteis;EMBRATEL;STF;86.54
2019;3;Taxa de Respondidas em 5 dias Úteis;OI;STF;85.53
2019;3;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;STF;46.51
2019;3;Taxa de Respondidas em 5 dias Úteis;TIM;STF;72.45
2019;3;Taxa de Respondidas em 5 dias Úteis;VIVO;STF;86.28
2019;3;Taxa de Respondidas no Período;ALGAR;STF;100.0
2019;3;Taxa de Respondidas no Período;EMBRATEL;STF;98.98
2019;3;Taxa de Respondidas no Período;OI;STF;99.93
2019;3;Taxa de Respondidas no Período;SERCOMTEL;STF;97.94
2019;3;Taxa de Respondidas no Período;TIM;STF;99.82
2019;3;Taxa de Respondidas no Período;VIVO;STF;99.64
2019;4;Indicador de Desempenho no Atendimento (IDA);ALGAR;STF;100.0
